Total Run Time <seconds>:,1248
Parallel Computing Efficiency <%>,55.0232
No. Iterations,8
Solution information:, 
IP Objective:,8.35311e+08
LP objective:,8.35311e+08
IP gap:,0Investment:,4.56e+08
WIND@bus5,0,1,2,
0,1,-0,-0,
1,1,-0,-0,
2,1,-0,-0,
3,1,-0,-0,
G3@bus0,0,1,2,
0,1,-0,0,
1,1,-0,-0,
2,1,0,-0,
3,1,0,-0,
G4@bus1,0,1,2,
0,0,0,1,
1,0,0,0,
2,0,0,1,
3,0,0,-0,
SOLAR@bus2,0,1,2,
0,-0,1,0,
1,-0,1,-0,
2,-0,-0,-0,
3,-0,-0,0,
Line1(1-2),0,1,2,
0,1,0,0,
1,1,0,0,
2,1,0,0,
3,1,0,0,
Line4(3-4),0,1,2,
0,1,0,0,
1,1,0,0,
2,1,0,0,
3,1,0,0,
Line6(2-5),0,1,2,
0,-0,-0,-0,
1,-0,-0,-0,
2,-0,-0,-0,
3,-0,-0,-0,
Stg0@20,1,2,
0,-0,1,-0,
1,-0,1,-0,
2,-0,-0,-0,
3,-0,-0,-0,
Stg1@50,1,2,
0,1,0,-0,
1,1,0,0,
2,1,0,0,
3,1,0,-0,
